name,country_area_id,flag_image
Angola,7,country_flags/flags/shiny/64/Angola.png
Uganda,7,country_flags/flags/shiny/64/Uganda.png
Egypt,7,country_flags/flags/shiny/64/Egypt.png
Ethiopia,7,country_flags/flags/shiny/64/Ethiopia.png
Eritrea,7,country_flags/flags/shiny/64/Eritrea.png
Ghana,7,country_flags/flags/shiny/64/Ghana.png
Cape Verde,7,country_flags/flags/shiny/64/Cape-Verde.png
Gabon,7,country_flags/flags/shiny/64/Gabon.png
Cameroon,7,country_flags/flags/shiny/64/Cameroon.png
Gambia,7,country_flags/flags/shiny/64/Gambia.png
Guinea,7,country_flags/flags/shiny/64/Guinea.png
Guinea-Bissau,7,country_flags/flags/shiny/64/Guinea-Bissau.png
Kenya,7,country_flags/flags/shiny/64/Kenya.png
Cote d'Ivoire,7,country_flags/flags/shiny/64/Cote-d'Ivoire.png
Comoros,7,country_flags/flags/shiny/64/Comoros.png
Congo-Kinshasa,7,country_flags/flags/shiny/64/Democratic-Republic-of-the-Congo.png
Congo-Brazzaville,7,country_flags/flags/shiny/64/Democratic-Republic-of-the-Congo.png
Sao Tome and Principe,7,country_flags/flags/shiny/64/Sao-Tome-and-Principe.png
Zambia,7,country_flags/flags/shiny/64/Zambia.png
Sierra Leone,7,country_flags/flags/shiny/64/Sierra-Leone.png
Djibouti,7,country_flags/flags/shiny/64/Djibouti.png
Zimbabwe,7,country_flags/flags/shiny/64/Zimbabwe.png
Sudan,7,country_flags/flags/shiny/64/Sudan.png
Swaziland,7,country_flags/flags/shiny/64/Swaziland.png
Seychelles,7,country_flags/flags/shiny/64/Seychelles.png
Equatorial Guinea,7,country_flags/flags/shiny/64/Equatorial-Guinea.png
Senegal,7,country_flags/flags/shiny/64/Senegal.png
Somalia,7,country_flags/flags/shiny/64/Somalia.png
Tanzania,7,country_flags/flags/shiny/64/Tanzania.png
Chad,7,country_flags/flags/shiny/64/Chad.png
Central African,7,country_flags/flags/shiny/64/Central-African-Republic.png
Tunisia,7,country_flags/flags/shiny/64/Tunisia.png
